  TIME  YEAR    UNIT    PLANTNM    YIELD
     1     2     559    agrl          174.395
     1     2     560    agrl          175.219
     1     2     570    agrl          192.452
     1     2     571    agrl          177.058
     1     2     572    agrl          189.971
     1     2     573    agrl          186.282
     1     2     574    agrl          178.142
     1     2     575    agrl          175.128
     1     2     576    agrl          183.915
     1     2     577    agrl          173.118
     1     2     578    agrl          166.676
     1     2     579    agrl          183.874
     1     2     580    agrl          177.100
     1     2     581    agrl          188.762
     1     2     582    agrl          191.227
     1     2     583    agrl          173.156
     1     2     584    agrl          192.458
     1     2     585    agrl          183.907
     1     2     586    agrl          174.163
     1     2     587    agrl          196.363
     1     2     592    agrl          175.146
     1     2     593    agrl          179.317
     1     2     594    agrl          166.672
     1     2     595    agrl          176.081
     1     2     596    agrl          147.202
     1     2     597    agrl          157.074
     1     2     598    agrl          176.017
     1     2     599    agrl          177.180
     1     2     600    agrl          177.149
     1     2     601    agrl          185.142
     1     2     602    agrl          172.114
     1     2     603    agrl          160.318
     1     2     604    agrl          180.448
     1     2     605    agrl          176.082
     1     2     606    agrl          186.372
     1     2     607    agrl          169.936
     1     2     608    agrl          190.034
     1     2     609    agrl          178.203
     1     2     613    agrl          172.051
     1     2     614    agrl          174.183
     1     2     615    agrl          177.099
     1     2     616    agrl          172.024
     1     2     617    agrl          169.935
     1     2     618    agrl          189.985
     1     2     619    agrl          177.059
     1     2     622    agrl          171.056
     1     2     623    agrl          163.582
     1     2     624    agrl          160.354
     1     2     625    agrl          161.136
     1     2     626    agrl          159.585
     1     2     627    agrl          162.685
     1     2     628    agrl          172.132
     1     2     629    agrl          166.731
     1     2     630    agrl          176.077
     1     2     631    agrl          169.979
     1     2     632    agrl          166.774
     1     2     633    agrl          192.543
     1     2     640    agrl          166.733
     1     2     641    agrl          184.046
     1     2     642    agrl          171.056
     1     2     643    agrl          181.691
     1     2     644    agrl          184.060
     1     2     645    agrl          187.662
     1     2     646    agrl          168.928
     1     2     647    agrl          167.896
     1     2     648    agrl          190.112
     1     2     649    agrl          165.727
     1     2     650    agrl          133.960
     1     2     658    agrl          162.005
     1     2     659    agrl          163.747
     1     2     660    agrl          167.853
     1     2     661    agrl          151.650
     1     2     662    agrl          159.031
     1     2     663    agrl          148.934
     1     2     664    agrl          207.325
     1     2     665    agrl          145.232
     1     2     666    agrl          168.974
     1     2     667    agrl          161.446
     1     2     668    agrl          160.425
     1     2     669    agrl          190.152
     1     2     670    agrl          164.740
     1     2     671    agrl          192.709
     1     2     672    agrl          173.255
     1     2     673    agrl          187.765
     1     2     674    agrl          173.300
     1     2     675    agrl          175.186
     1     2     676    agrl          163.762
     1     2     677    agrl          207.386
     1     2     678    agrl          146.599
     1     2     679    agrl          164.776
     1     2     680    agrl          208.836
     1     2     681    agrl          159.841
     1     2     682    agrl          138.773
     1     2     683    agrl          190.199
     1     2     684    agrl          184.055
     1     2     685    agrl          153.502
     1     2     686    agrl          173.321
     1     2     687    agrl          181.736
     1     2     688    agrl          199.121
     1     2     689    agrl          185.271
     1     2     690    agrl          210.297
     1     2     691    agrl          174.331
     1     2     692    agrl          177.316
     1     2     693    agrl          207.405
     1     2     704    agrl          181.682
     1     2     705    agrl          166.827
     1     2     706    agrl          166.793
     1     2     707    agrl          162.766
     1     2     708    agrl          171.143
     1     2     709    agrl          171.122
     1     2     710    agrl          185.272
     1     2     711    agrl          177.244
     1     2     712    agrl          153.443
     1     2     713    agrl          171.133
     1     2     714    agrl          174.350
     1     2     715    agrl          161.977
     1     2     716    agrl          173.265
     1     2     717    agrl          180.632
     1     2     718    agrl          196.499
     1     2     719    agrl          165.799
     1     2     720    agrl          176.114
     1     2     721    agrl          176.173
     1     2     722    agrl          156.156
     1     2     730    agrl          181.721
     1     2     731    agrl          181.671
     1     2     732    agrl          145.851
     1     2     733    agrl          170.025
     1     2     734    agrl          185.189
     1     2     735    agrl          181.678
     1     2     736    agrl          166.740
     1     2     737    agrl          180.532
     1     2     738    agrl          168.947
     1     2     739    agrl          172.213
     1     2     740    agrl          182.882
     1     2     741    agrl          163.683
     1     2     742    agrl          171.102
     1     2     743    agrl          181.701
     1     2     744    agrl          182.855
     1     2     745    agrl          182.872
     1     2     746    agrl          176.104
     1     2     747    agrl          185.275
     1     2     748    agrl          163.652
     1     2     749    agrl          173.226
     1     2     750    agrl          180.533
     1     2     751    agrl          176.101
     1     2     752    agrl          175.156
     1     2     753    agrl          178.279
     1     2     760    agrl          166.649
     1     2     761    agrl          174.242
     1     2     762    agrl          154.204
     1     2     763    agrl          153.284
     1     2     764    agrl          148.798
     1     2     765    agrl          145.830
     1     2     766    agrl          166.695
     1     2     767    agrl          175.144
     1     2     768    agrl          183.961
     1     2     769    agrl          164.651
     1     2     770    agrl          160.328
     1     2     771    agrl          186.391
     1     2     772    agrl          179.354
     1     2     773    agrl          171.028
     1     2     774    agrl          163.583
     1     2     775    agrl          174.228
     1     2     776    agrl          177.110
     1     2     789    agrl          164.547
     1     2     790    agrl          173.095
     1     2     791    agrl          174.233
     1     2     792    agrl          179.283
     1     2     793    agrl          187.557
     1     2     794    agrl          178.158
     1     2     795    agrl          175.143
     1     2     796    agrl          167.805
     1     2     797    agrl          177.083
     1     2     798    agrl          193.850
     1     2     799    agrl          166.707
     1     2     800    agrl          175.143
     1     2     801    agrl          176.041
     1     2     802    agrl          167.765
     1     2     803    agrl          176.077
     1     2     804    agrl          188.791
     1     2     805    agrl          168.851
     1     2     806    agrl          175.155
     1     2     807    agrl          174.214
     1     2     808    agrl          179.293
     1     2     809    agrl          169.913
     1     2     810    agrl          181.665
     1     2     823    agrl          146.505
     1     2     824    agrl          157.061
     1     2     825    agrl          169.942
     1     2     826    agrl          171.102
     1     2     827    agrl          163.618
     1     2     828    agrl          154.290
     1     2     835    agrl          176.044
     1     2     836    agrl          174.298
     1     2     837    agrl          160.348
     1     2     838    agrl          171.075
     1     2     845    agrl          164.577
     1     2     846    agrl          127.163
     1     2     847    agrl          175.113
     1     2     848    agrl          160.336
     1     2     849    agrl          176.088
     1     2     850    agrl          143.228
     1     2     851    agrl          176.076
     1     2     852    agrl          152.402
     1     2     853    agrl          193.818
     1     2     870    agrl          182.744
     1     2     871    agrl          173.132
     1     2     872    agrl          172.093
     1     2     873    agrl          180.449
     1     2     874    agrl          168.843
     1     2     875    agrl          173.189
     1     2     876    agrl          192.560
     1     2     877    agrl          178.194
     1     2     878    agrl          158.008
     1     2     879    agrl          175.147
     1     2     880    agrl          181.668
     1     2     881    agrl          173.155
     1     2     882    agrl          172.110
     1     2     883    agrl          172.119
     1     2     884    agrl          185.153
     1     2     885    agrl          175.168
     1     2     886    agrl          171.059
     1     2     887    agrl          176.057
     1     2     888    agrl          147.954
     1     2     889    agrl          182.769
     1     2     890    agrl          161.916
     1     2     902    agrl          172.166
     1     2     903    agrl          172.126
     1     2     904    agrl          159.547
     1     2     905    agrl          166.782
     1     2     906    agrl          158.022
     1     2     907    agrl          151.525
     1     2     908    agrl          182.826
     1     2     909    agrl          163.643
     1     2     910    agrl          168.938
     1     2     911    agrl          143.892
     1     2     912    agrl          143.282
     1     2     913    agrl          190.115
     1     2     914    agrl          196.464
     1     2     915    agrl          196.466
     1     2     916    agrl          200.420
     1     2     917    agrl          162.780
     1     2     918    agrl          174.301
     1     2     919    agrl          180.550
     1     2     920    agrl          185.180
     1     2     921    agrl          168.940
     1     2     922    agrl          173.180
     1     2     923    agrl          155.207
     1     2     924    agrl          183.978
     1     2     925    agrl          183.996
     1     2     936    agrl          174.268
     1     2     937    agrl          161.947
     1     2     938    agrl          163.676
     1     2     939    agrl          163.665
     1     2     940    agrl          147.227
     1     2     941    agrl          163.673
     1     2     942    agrl          155.197
     1     2     943    agrl          146.550
     1     2     946    agrl          171.095
     1     2     947    agrl          167.902
     1     2     948    agrl          161.173
     1     2     949    agrl          163.692
     1     2     953    agrl          181.687
     1     2     954    agrl          184.050
     1     2     961    agrl          188.935
     1     2     962    agrl          178.345
     1     2     963    agrl          171.154
     1     2     964    agrl          170.036
     1     2     965    agrl          176.203
     1     2     966    agrl          181.725
     1     2     967    agrl          180.572
     1     2     968    agrl          166.865
     1     2     969    agrl          192.684
     1     2     970    agrl          195.279
     1     2     971    agrl          177.279
     1     2     972    agrl          164.766
     1     2     973    agrl          196.529
     1     2     974    agrl          184.090
     1     2     975    agrl          185.297
     1     2     976    agrl          191.461
     1     2     977    agrl          175.200
     1     2     978    agrl          163.709
     1     2     979    agrl          172.229
     1     2     980    agrl          184.118
     1     2     981    agrl          186.495
     1     2     982    agrl          190.224
     1     2     983    agrl          174.355
     1     2     984    agrl          179.461
     1     2     985    agrl          182.921
     1     2     986    agrl          190.202
     1     2     987    agrl          163.736
     1     2     988    agrl          188.949
     1     2     989    agrl          178.359
     1     2     990    agrl          181.779
     1     2    1012    agrl          188.982
     1     2    1013    agrl          166.806
     1     2    1014    agrl          172.266
     1     2    1015    agrl          177.223
     1     2    1016    agrl          159.598
     1     2    1017    agrl          160.363
     1     2    1018    agrl          165.796
     1     2    1019    agrl          177.257
     1     2    1020    agrl          147.250
     1     2    1021    agrl          163.738
     1     2    1022    agrl          149.808
     1     2    1023    agrl          140.615
     1     2    1024    agrl          178.346
     1     2    1025    agrl          173.322
     1     2    1026    agrl          171.190
     1     2    1027    agrl          174.356
     1     2    1028    agrl          159.039
     1     2    1029    agrl          170.089
     1     2    1030    agrl          163.743
     1     2    1031    agrl          137.427
     1     2    1032    agrl          149.860
