        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
          48           2          17        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          49           2          18        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          50           2          19        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          51           2          20        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          52           2          21        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          53           2          22        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          54           2          23        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          55           2          24        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          56           2          25        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          57           2          26        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          58           2          27        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          59           2          28        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          60           2          29        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          61           3           1        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
          62           3           2        1988 hru1            cha  5.4876269E-05  8.8367585E-10  5.4876272E-09  1.6462881E-08  5.4876272E-09  5.4876272E-09  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  8.8367585E-07  0.0000000E+00  0.0000000E+00
